,activation,batch_size,cell_dim,dropout,epochs,gene_dim,hid1_dim,hid2_dim,lookahead,lr_max,score,time
198,elu,64.0,40.0,0.7,24.0,120.0,760.0,790.0,1.0,0.03396750182432521,0.015192721039056778,47.34246206283569
199,elu,96.0,40.0,0.7,26.0,160.0,640.0,820.0,1.0,0.026220781538319873,0.015140285715460777,36.822431564331055
200,elu,96.0,40.0,0.7,23.0,110.0,560.0,570.0,1.0,0.030543833605515203,0.015185583382844925,33.138254165649414
201,elu,96.0,45.0,0.7,22.0,110.0,690.0,680.0,1.0,0.02856454835497813,0.015129073522984982,31.697216272354126
202,elu,96.0,45.0,0.7,24.0,120.0,720.0,680.0,1.0,0.023181245955454944,0.015124421566724777,33.76638054847717
203,elu,96.0,45.0,0.7,21.0,130.0,720.0,750.0,1.0,0.02404370905719946,0.015155251137912273,30.748659133911133
204,elu,96.0,45.0,0.7,25.0,120.0,840.0,700.0,1.0,0.027349816294606685,0.015176879242062569,38.243255615234375
205,elu,96.0,45.0,0.6500000000000001,23.0,140.0,700.0,680.0,1.0,0.03527373671704559,0.015231058932840824,33.91325402259827
206,elu,96.0,35.0,0.7,24.0,110.0,760.0,780.0,1.0,0.01765117463131984,0.01515110768377781,34.68484950065613
207,elu,96.0,45.0,0.7,22.0,110.0,550.0,740.0,1.0,0.04350759873404685,0.015135155990719795,31.983152866363525
208,elu,96.0,45.0,0.6500000000000001,20.0,120.0,550.0,830.0,1.0,0.04642966485669334,0.015146609395742416,29.405835390090942
209,elu,96.0,45.0,0.7,25.0,110.0,660.0,620.0,1.0,0.04293620087336516,0.015149512328207493,35.15507626533508
